system:time_start,B1,B2,B3,B4,B5,B6,B7,,,Quarters,(All),,,,,,,,,,,,,,,
14-Sep-15,"1,183.18","1,399.40","1,451.41","1,755.94","1,470.45","2,976.09","1,164.69",,,,,,,,,,,,,,,,,,,
07-Oct-15,852.901,"1,100.65","1,169.92","1,646.22","1,527.13","3,055.14","1,285.36",,,,,,,,,,,,,,,,,,,
16-Oct-15,863.249,"1,015.59","1,020.09","1,226.55","1,085.09","3,030.67",924.055,,,,,,,,,,,,,,,,,,,
23-Oct-15,783.348,984.652,"1,025.70","1,300.65","1,211.13","3,065","1,067.09",,,,,,,,,,,,,,,,,,,
01-Nov-15,864.776,978.298,"1,015.71","1,346.21","1,104.33","2,996.56",900.42,,,,,,,,,,,,,,,,,,,
08-Nov-15,"1,033.64","1,184.60","1,209.75","1,399.14","1,257.91","3,027.56","1,114.35",,,,,,,,,,,,,,,,,,,
17-Nov-15,"1,091.53","1,257.27","1,283.07","1,438.88","1,209.75","3,004.55","1,044.83",,,,,,,,,,,,,,,,,,,
03-Dec-15,827.831,976.899,"1,109.68","1,540.30","1,380.91","2,986.07","1,159.90",,,,,,,,,,,,,,,,,,,
10-Dec-15,896.162,"1,085.26","1,163.20","1,348.66","1,237.03","2,957.74","1,027.07",,,,,,,,,,,,,,,,,,,
19-Dec-15,901.327,"1,112.60","1,188.59","1,418.58","1,250.94","2,947.67","1,098.43",,,,,,,,,,,,,,,,,,,
26-Dec-15,848.038,"1,077.02","1,181.07","1,422.81","1,263.18","2,940.39","1,104.33",,,,,,,,,,,,,,,,,,,
04-Jan-16,887.78,"1,013.68","1,156.55","1,557.84","1,344.29","2,984.19","1,140.95",,,,,,,,,,,,,,,,,,,
11-Jan-16,987.719,"1,183.16","1,328.84","1,626.68","1,765.82","3,004.73","1,600.03",,,,,,,,,,,,,,,,,,,
20-Jan-16,"1,043.71","1,257.16","1,414.18","1,794.46","1,891.85","2,979.36","1,648.14",,,,,,,,,,,,,,,,,,,
27-Jan-16,924.928,"1,115.82","1,260.74","1,511.60","1,659.63","2,995.65","1,491.75",,,,,,,,,,,,,,,,,,,
05-Feb-16,987.25,"1,156.74","1,416.78","1,827.91","2,058.41","3,025.32","1,877.23",,,,,,,,,,,,,,,,,,,
12-Feb-16,"1,062.76","1,321.84","1,513.63","1,843.16","1,964.70","3,008.97","1,769.69",,,,,,,,,,,,,,,,,,,
